și  s1 i
susținea  s u s ts i n e a
interesele  i n t e r e s e l e
puterii  p u t e r i i
necazurile  n e k a z u r i l e
solicite  s o l i ts1 t e
ajutoare  a z1 u t o a r e
nerambursabile  n e r a m b u r s a b i l e
știi  s1 t i i
mergi  m e r dz1
turul  t u r u l
prezentată  p r e z e n t a t a1
festivaluri  f e s t i v a l u r i
rezistați  r e z i s t a ts i
consumați  k o n s u m a ts i
fructe  f r u k t e
legume  l e g u m e
reabilitării  r e a b i l i t a1 r i i
biletele  b i l e t e l e
bilete  b i l e t e
teatrului  t e a t r u l u i
prezenți  p r e z e n ts i
apăr  a p a1 r
sătenii  s a1 t e n i i
tricolorii  t r i k o l o r i i
reprezentativa  r e p r e z e n t a t i v a
ungariei  u n g a r i e i
mulțumește  m u l ts u m e s1 t e
tatălui  t a t a1 l u i
decizia  d e ts1 z i a
clubul  k l u b u l
cotroceni  k o t r o ts1 n i
argumentele  a r g u m e n t e l e
del  d e l
campioana  k a m p i o a n a
estera  e s t e r a
dobre  d o b r e
desfășoare  d e s f a1 s1 o a r e
următoare  u r m a1 t o a r e
pleșiță  p l e s1 i ts a1
audierilor  a u d i e r i l o r
folosesc  f o l o s e s k
instrumentele  i n s t r u m e n t e l e
represive  r e p r e s i v e
posibile  p o s i b i l e
aduceți  a d u ts1 ts i
popoviciu  p o p o v i ts1 u
știm  s1 t i m
prezența  p r e z e n ts a
personalități  p e r s o n a l i t a1 ts i
anunțate  a n u n ts a t e
vacanță  v a k a n ts a1
grecia  g r e ts1 a
precare  p r e k a r e
aranjeze  a r a n z1 e z e
camera  k a m e r a
reșița  r e s1 i ts a
piciorușul  p i ts1 o r u s1 u l
reproșat  r e p r o s1 a t
distrug  d i s t r u g
prestigiul  p r e s t i dz1 u l
atacând  a t a k a2 n d
găștile  g a1 s1 t i l e
universitare  u n i v e r s i t a r e
reșițeni  r e s1 i ts e n i
agitația  a dz1 t a ts i a
petrecerilor  p e t r e ts1 r i l o r
managerul  m a n a dz1 r u l
portalului  p o r t a l u l u i
evenimente  e v e n i m e n t e
ample  a m p l e
transformări  t r a n s f o r m a1 r i
crize  k r i z e
atinse  a t i n s e
sucesc  s u ts1 s k
mințile  m i n ts i l e
oravița  o r a v i ts a
ocupă  o k u p a1
milano  m i l a n o
necredința  n e k r e d i n ts a
grădinii  g r a1 d i n i i
scene  s ts1 n e
violente  v i o l e n t e
jumătăți  z1 u m a1 t a1 ts i
legată  l e g a t a1
raportările  r a p o r t a1 r i l e
avocatul  a v o k a t u l
surorilor  s u r o r i l o r
angajatorii  a n g a z1 a t o r i i
gălățeni  g a1 l a1 ts e n i
concedieze  k o n ts1 d i e z e
arate  a r a t e
căpitanul  k a1 p i t a n u l
intrați  i n t r a ts i
odăi  o d a1 i
batem  b a t e m
granzii  g r a n z i i
discuție  d i s k u ts i e
decidă  d e ts1 d a1
literatura  l i t e r a t u r a
abundența  a b u n d e n ts a
încălțămintelor  a2 n k a1 l ts a1 m i n t e l o r
meseriași  m e s e r i a s1 i
antrenori  a n t r e n o r i
excepție  e k s ts1 p ts i e
infrastructura  i n f r a s t r u k t u r a
domnii  d o m n i i
ne-ar  n e a r
mulțumi  m u l ts u m i
stoianov  s t o i a n o v
softul  s o f t u l
blochează  b l o k h e a z a1
roțile  r o ts i l e
deplasările  d e p l a s a1 r i l e
îngrijorați  a2 n g r i z1 o r a ts i
monumentului  m o n u m e n t u l u i
teorii  t e o r i i
ambiția  a m b i ts i a
discursuri  d i s k u r s u r i
izolate  i z o l a t e
reapar  r e a p a r
show-urile  s h o u u r i l e
oana  o a n a
completăm  k o m p l e t a1 m
absolută  a b s o l u t a1
pictorului  p i k t o r u l u i
transformă  t r a n s f o r m a1
culoarea  k u l o a r e a
așteaptă  a s1 t e a p t a1
precizări  p r e ts1 z a1 r i
golănia  g o l a1 n i a
pumori  p u m o r i
granița  g r a n i ts a
nepal  n e p a l
rețetă  r e ts e t a1
preparatele  p r e p a r a t e l e
culinare  k u l i n a r e
rețetele  r e ts e t e l e
prăjituri  p r a1 z1 i t u r i
referă  r e f e r a1
proprietățile  p r o p r i e t a1 ts i l e
obiective  o b i e k t i v e
clare  k l a r e
finanțelor  f i n a n ts e l o r
artificii  a r t i f i ts1 i
panathinaikos  p a n a t h i n a i k o s
întreprinzătorul  a2 n t r e p r i n z a1 t o r u l
realizeze  r e a l i z e z e
spații  s p a ts i i
străbunicul  s t r a1 b u n i k u l
bunicul  b u n i k u l
acrobați  a k r o b a ts i
aquabis  a k u a b i s
căilean  k a1 i l e a n
posibilă  p o s i b i l a1
femeii  f e m e i i
cedo  ts1 d o
decretul  d e k r e t u l
grațierii  g r a ts i e r i i
individuale  i n d i v i d u a l e
organizațiilor  o r g a n i z a ts i i l o r
catolice  k a t o l i ts1
prezentările  p r e z e n t a1 r i l e
șotronul  s1 o t r o n u l
coarda  k o a r d a
îndrumătoarea  a2 n d r u m a1 t o a r e a
prietena  p r i e t e n a
aplicate  a p l i k a t e
sechestre  s e k h e s t r e
mijloace  m i z1 l o a ts1
electrocasnice  e l e k t r o k a s n i ts1
grupări  g r u p a1 r i
trec  t r e k
strică  s t r i k a1
explică  e k s p l i k a1
meșterul  m e s1 t e r u l
tribunalului  t r i b u n a l u l u i
profesoarele  p r o f e s o a r e l e
editura  e d i t u r a
humanitas  h u m a n i t a s
debitorii  d e b i t o r i i
protecție  p r o t e k ts i e
abuzuri  a b u z u r i
băncilor  b a1 n ts1 l o r
animalului  a n i m a l u l u i
arabilor  a r a b i l o r
vocea  v o ts1 a
clubului  k l u b u l u i
suleiman  s u l e i m a n
bunăvoință  b u n a1 v o i n ts a1
grigorov  g r i g o r o v
virgil  v i r dz1 l
melente  m e l e n t e
resursele  r e s u r s e l e
limitate  l i m i t a t e
cererea  ts1 r e r e a
clasamentul  k l a s a m e n t u l
superioară  s u p e r i o a r a1
ocup  o k u p
distribuția  d i s t r i b u ts i a
camerelor  k a m e r e l o r
dispuși  d i s p u s1 i
cheltuiască  k h e l t u i a s k a1
atâția  a t a2 ts i a
caine  k a i n e
pseudonimul  p s e u d o n i m u l
lansează  l a n s e a z a1
scrierile  s k r i e r i l e
restanțe  r e s t a n ts e
salariilor  s a l a r i i l o r
tichetelor  t i k h e t e l o r
economiei  e k o n o m i e i
violența  v i o l e n ts a
limbajului  l i m b a z1 u l u i
animalele  a n i m a l e l e
aparțin  a p a r ts i n
discutau  d i s k u t a u
sindicaliștii  s i n d i k a l i s1 t i i
lăcașului  l a1 k a s1 u l u i
neîncăpătoare  n e a2 n k a1 p a1 t o a r e
făcuseră  f a1 k u s e r a1
cununia  k u n u n i a
civilă  ts1 v i l a1
suprafețe  s u p r a f e ts e
cultivate  k u l t i v a t e
viță  v i ts a1
nobilă  n o b i l a1
scena  s ts1 n a
sindicatelor  s i n d i k a t e l o r
proporții  p r o p o r ts i i
avariate  a v a r i a t e
maghiari  m a g h i a r i
investiția  i n v e s t i ts i a
coreenilor  k o r e e n i l o r
pojarul  p o z1 a r u l
scarlatina  s k a r l a t i n a
colecționar  k o l e k ts i o n a r
cheamă  k h e a m a1
oficialii  o f i ts1 a l i i
principalii  p r i n ts1 p a l i i
pierzători  p i e r z a1 t o r i
înclinația  a2 n k l i n a ts i a
decorațiuni  d e k o r a ts i u n i
ploiești  p l o i e s1 t i
laterale  l a t e r a l e
epuizați  e p u i z a ts i
stresați  s t r e s a ts i
nemâncați  n e m a2 n k a ts i
sceptice  s ts1 p t i ts1
peisaje  p e i s a z1 e
neînceperea  n e a2 n ts1 p e r e a
urmăririi  u r m a1 r i r i i
goblenuri  g o b l e n u r i
decanul  d e k a n u l
ioanei  i o a n e i
vișan  v i s1 a n
urmezi  u r m e z i
domnița  d o m n i ts a
bălașa  b a1 l a s1 a
antrenorii  a n t r e n o r i i
scoată  s k o a t a1
maximul  m a k s i m u l
începi  a2 n ts1 p i
directorului  d i r e k t o r u l u i
speță  s p e ts a1
diferită  d i f e r i t a1
ce-i  ts1 i
letoni  l e t o n i
panait  p a n a i t
sârbu  s a2 r b u
anchetatorii  a n k h e t a t o r i i
localul  l o k a l u l
vorbește  v o r b e s1 t e
securități  s e k u r i t a1 ts i
școli  s1 k o l i
fraze  f r a z e
generale  dz1 n e r a l e
dodon  d o d o n
mulțumim  m u l ts u m i m
corupția  k o r u p ts i a
națională  n a ts i o n a l a1
ocupi  o k u p i
bianca  b i a n k a
studieze  s t u d i e z e
nedelcu  n e d e l k u
accesul  a k ts1 s u l
lăncierilor  l a1 n ts1 e r i l o r
atragem  a t r a dz1 m
prorectorii  p r o r e k t o r i i
născută  n a1 s k u t a1
precizând  p r e ts1 z a2 n d
eclectică  e k l e k t i k a1
realizarea  r e a l i z a r e a
sait  s a i t
bineînțeles  b i n e a2 n ts e l e s
gemurile  dz1 m u r i l e
funcțională  f u n k ts i o n a l a1
sabău  s a b a1 u
gheorghe  g h e o r g h e
severinului  s e v e r i n u l u i
grigore  g r i g o r e
anca  a n k a
plopșoru  p l o p s1 o r u
gabriel  g a b r i e l
mintaș  m i n t a s1
georgică  dz1 o r dz1 k a1
cristescu  k r i s t e s k u
romeo  r o m e o
dunca  d u n k a
cristian  k r i s t i a n
dulca  d u l k a
apreciază  a p r e ts1 a z a1
europă  e u r o p a1
lazic  l a z i k
domeniile  d o m e n i i l e
doina  d o i n a
petrean  p e t r e a n
erica  e r i k a
rezultatele  r e z u l t a t e l e
rovența  r o v e n ts a
planetariul  p l a n e t a r i u l
oțelul  o ts e l u l
ineu  i n e u
criș  k r i s1
victima  v i k t i m a
cenaclului  ts1 n a k l u l u i
semenicul  s e m e n i k u l
achiziționarea  a k h i z i ts i o n a r e a
scopul  s k o p u l
dănilă  d a1 n i l a1
stația  s t a ts i a
preferata  p r e f e r a t a
potro  p o t r o
regiei  r e dz1 e i
monteoru  m o n t e o r u
constănțean  k o n s t a1 n ts e a n
tarknișvili  t a r k n i s1 v i l i
dragul  d r a g u l
copilului  k o p i l u l u i
apuc  a p u k
cinstită  ts1 n s t i t a1
rodideal  r o d i d e a l
lumii  l u m i i
interlope  i n t e r l o p e
înalți  a2 n a l ts i
fazele  f a z e l e
fixe  f i k s e
khalifah  k h a l i f a h
primarii  p r i m a r i i
colegii  k o l e dz1 i
patronatele  p a t r o n a t e l e
roberto  r o b e r t o
michelletti  m i k h e l l e t t i
audierea  a u d i e r e a
sora  s o r a
artcurial  a r t k u r i a l
cadouri  k a d o u r i
lucrurilor  l u k r u r i l o r
dureri  d u r e r i
a  a
stafuri  s t a f u r i
moscopole  m o s k o p o l e
bunicii  b u n i ts1 i
metrorex  m e t r o r e k s
vânzătoare  v a2 n z a1 t o a r e
brânza  b r a2 n z a
atâta  a t a2 t a
din  d i n
performanță  p e r f o r m a n ts a1
aducem  a d u ts1 m
kilograme  k i l o g r a m e
clase  k l a s e
scandalul  s k a n d a l u l
oprește  o p r e s1 t e
datorii  d a t o r i i
dintr-o  d i n t r o
mingea  m i n dz1 a
părerea  p a1 r e r e a
inter-  i n t e r
angajații  a n g a z1 a ts i i
lasă  l a s a1
cazuri  k a z u r i
familii  f a m i l i i
rândurile  r a2 n d u r i l e
ef  e f
scade  s k a d e
închiderea  a2 n k h i d e r e a
iubesc  i u b e s k
afectate  a f e k t a t e
ialomița  i a l o m i ts a
acestor  a ts1 s t o r
raportul  r a p o r t u l
animale  a n i m a l e
greșeală  g r e s1 e a l a1
jurul  z1 u r u l
l-am  l a m
varianta  v a r i a n t a
marius  m a r i u s
câștigăm  k a2 s1 t i g a1 m
posibilitatea  p o s i b i l i t a t e a
investițiile  i n v e s t i ts i i l e
vorbind  v o r b i n d
legi  l e dz1
melodiile  m e l o d i i l e
apară  a p a r a1
dacă  d a k a1
pe  p e
și  s1 i
pentru  p e n t r u
românia  r o m a2 n i a
după  d u p a1
este  e s t e
eu  e u
o  o
bucurești  b u k u r e s1 t i
acesta  a ts1 s t a
îmi  a2 m i
se  s e
au  a u
hleg  h l e g
rudele  r u d e l e
vali  v a l i
astea  a s t e a
inspectorul  i n s p e k t o r u l
jiul  z1 i u l
până  p a2 n a1
sunt  s u n t
timișoara  t i m i s1 o a r a
ei  e i
acum  a k u m
polii  p o l i i
înmormântarea  a2 n m o r m a2 n t a r e a
natală  n a t a l a1
valea  v a l e a
țerovei  ts e r o v e i
sisteme  s i s t e m e
aceiași  a ts1 i a s1 i
învăț  a2 n v a1 ts
comunic  k o m u n i k
adaptez  a d a p t e z
situații  s i t u a ts i i
regia  r e dz1 a
semnată  s e m n a t a1
maestrul  m a e s t r u l
ghioca  g h i o k a
lașitatea  l a s1 i t a t e a
civilizație  ts1 v i l i z a ts i e
desemnarea  d e s e m n a r e a
copenhaga  k o p e n h a g a
indicațiile  i n d i k a ts i i l e
tactice  t a k t i ts1
atacată  a t a k a t a1
federală  f e d e r a l a1
citiți  ts1 t i ts i
articolul  a r t i k o l u l
leii  l e i i
falși  f a l s1 i
înmulțit  a2 n m u l ts i t
credea  k r e d e a
confiscată  k o n f i s k a t a1
muniția  m u n i ts i a
proveniență  p r o v e n i e n ts a1
curente  k u r e n t e
facturile  f a k t u r i l e
prefecturii  p r e f e k t u r i i
pavajul  p a v a z1 u l
palestinienii  p a l e s t i n i e n i i
îngheț  a2 n g h e ts
construcțiilor  k o n s t r u k ts i i l o r
revenirea  r e v e n i r e a
hondurasului  h o n d u r a s u l u i
manuel  m a n u e l
provoacă  p r o v o a k a1
reacții  r e a k ts i i
antrenorilor  a n t r e n o r i l o r
fotbalul  f o t b a l u l
mergem  m e r dz1 m
solicită  s o l i ts1 t a1
demiterea  d e m i t e r e a
ministrului  m i n i s t r u l u i
justiției  z1 u s t i ts i e i
lesch  l e s k h
regretă  r e g r e t a1
petrecuți  p e t r e k u ts i
sufletul  s u f l e t u l
mămici  m a1 m i ts1
predă  p r e d a1
învățătoarea  a2 n v a1 ts a1 t o a r e a
valeria  v a l e r i a
prinzi  p r i n z i
caldă  k a l d a1
obținem  o b ts i n e m
cursului  k u r s u l u i
concordante  k o n k o r d a n t e
arătau  a r a1 t a u
motoare  m o t o a r e
puternice  p u t e r n i ts1
groaznică  g r o a z n i k a1
întrebarea  a2 n t r e b a r e a
stradali  s t r a d a l i
efecte  e f e k t e
nefaste  n e f a s t e
firma  f i r m a
directorii  d i r e k t o r i i
organizaseră  o r g a n i z a s e r a1
intrarea  i n t r a r e a
concertul  k o n ts1 r t u l
ocupăm  o k u p a1 m
simptome  s i m p t o m e
delfinilor  d e l f i n i l o r
marea  m a r e a
chestia  k h e s t i a
parțial  p a r ts i a l
fratele  f r a t e l e
pusă  p u s a1
depozitate  d e p o z i t a t e
preparate  p r e p a r a t e
alimentele  a l i m e n t e l e
ținute  ts i n u t e
vestimentare  v e s t i m e n t a r e
ador  a d o r
călătoriile  k a1 l a1 t o r i i l e
poezii  p o e z i i
predea  p r e d e a
puterea  p u t e r e a
opel  o p e l
capitalul  k a p i t a l u l
posturi  p o s t u r i
dedicate  d e d i k a t e
muncitorilor  m u n ts1 t o r i l o r
v-ați  v a ts i
obiectele  o b i e k t e l e
colecție  k o l e k ts i e
rase  r a s e
ungaria  u n g a r i a
menționează  m e n ts i o n e a z a1
liviu  l i v i u
titluri  t i t l u r i
răpunea  r a1 p u n e a
edilii  e d i l i i
logodnicele  l o g o d n i ts1 l e
suferințe  s u f e r i n ts e
pulmonare  p u l m o n a r e
severe  s e v e r e
demisia  d e m i s i a
forțat  f o r ts a t
creșterea  k r e s1 t e r e a
cârțu  k a2 r ts u
persoana  p e r s o a n a
respectivă  r e s p e k t i v a1
surprinsă  s u r p r i n s a1
neatenție  n e a t e n ts i e
afectează  a f e k t e a z a1
afacerile  a f a ts1 r i l e
disputate  d i s p u t a t e
criminalii  k r i m i n a l i i
liberi  l i b e r i
știință  s1 t i i n ts a1
polonia  p o l o n i a
las  l a s
fetele  f e t e l e
secții  s e k ts i i
piardă  p i a r d a1
crească  k r e a s k a1
solicitările  s o l i ts1 t a1 r i l e
identificării  i d e n t i f i k a1 r i i
prinderii  p r i n d e r i i
autorilor  a u t o r i l o r
sportivilor  s p o r t i v i l o r
consume  k o n s u m e
tentative  t e n t a t i v e
întoarcerea  a2 n t o a r ts1 r e a
dulăpioare  d u l a1 p i o a r e
calculatoare  k a l k u l a t o a r e
televizoare  t e l e v i z o a r e
dublarea  d u b l a r e a
personaje  p e r s o n a z1 e
mizați  m i z a ts i
personajele  p e r s o n a z1 e l e
toții  t o ts i i
momente  m o m e n t e
medicilor  m e d i ts1 l o r
specialiști  s p e ts1 a l i s1 t i
botoșani  b o t o s1 a n i
reacționat  r e a k ts i o n a t
răspândește  r a1 s p a2 n d e s1 t e
ghinionul  g h i n i o n u l
echipaje  e k h i p a z1 e
principalele  p r i n ts1 p a l e l e
pretendente  p r e t e n d e n t e
europa  e u r o p a
league  l e a g u e
covrigii  k o v r i dz1 i
fierți  f i e r ts i
organizatorilor  o r g a n i z a t o r i l o r
festivalului  f e s t i v a l u l u i
numărătoarea  n u m a1 r a1 t o a r e a
inversă  i n v e r s a1
cerea  ts1 r e a
istudor  i s t u d o r
cântăreață  k a2 n t a1 r e a ts a1
simțeau  s i m ts e a u
legați  l e g a ts i
adolescenta  a d o l e s ts1 n t a
raliuri  r a l i u r i
ofițerii  o f i ts e r i i
circuitele  ts1 r k u i t e l e
micilor  m i ts1 l o r
vizite  v i z i t e
jucam  z1 u k a m
dormeam  d o r m e a m
complicați  k o m p l i k a ts i
plevușcă  p l e v u s1 k a1
arunc  a r u n k
boabele  b o a b e l e
crăpate  k r a1 p a t e
sănătoase  s a1 n a1 t o a s e
micile  m i ts1 l e
șmecherii  s1 m e k h e r i i
afirmă  a f i r m a1
arădeanca  a r a1 d e a n k a
districtul  d i s t r i k t u l
cartierul  k a r t i e r u l
queens  k u e e n s
finalul  f i n a l u l
mingi  m i n dz1
autograful  a u t o g r a f u l
permisul  p e r m i s u l
ocupantele  o k u p a n t e l e
locurilor  l o k u r i l o r
cupa  k u p a
comunală  k o m u n a l a1
mătăsari  m a1 t a1 s a r i
sesizată  s e s i z a t a1
penescu  p e n e s k u
primeau  p r i m e a u
contravenții  k o n t r a v e n ts i i
avizul  a v i z u l
apelor  a p e l o r
copiilor  k o p i i l o r
ingenue  i n dz1 n u e
afecțiune  a f e k ts i u n e
cifrele  ts1 f r e l e
convenite  k o n v e n i t e
singurătatea  s i n g u r a1 t a t e a
metropolele  m e t r o p o l e l e
scenarista  s ts1 n a r i s t a
szekely  s z e k e l i
evoluțiile  e v o l u ts i i l e
onicaș  o n i k a s1
ionescu  i o n e s k u
karzai  k a r z a i
elicopterul  e l i k o p t e r u l
fusese  f u s e s e
neînțelegeri  n e a2 n ts e l e dz1 r i
neachitate  n e a k h i t a t e
copile  k o p i l e
ghivece  g h i v e ts1
practicăm  p r a k t i k a1 m
concentrați  k o n ts1 n t r a ts i
implicate  i m p l i k a t e
accidente  a k ts1 d e n t e
baclavalele  b a k l a v a l e l e
dâmbovița  d a2 m b o v i ts a
rare  r a r e
venitul  v e n i t u l
cupluri  k u p l u r i
românul  r o m a2 n u l
soderling  s o d e r l i n g
hidrați  h i d r a ts i
vancea  v a n ts1 a
hotărască  h o t a1 r a s k a1
ninu  n i n u
dunării  d u n a1 r i i
auraș  a u r a s1
brașoveanu  b r a s1 o v e a n u
gruia  g r u i a
așteptăm  a s1 t e p t a1 m
nominalizarea  n o m i n a l i z a r e a
postul  p o s t u l
plasată  p l a s a t a1
promisiuni  p r o m i s i u n i
înarmați  a2 n a r m a ts i
raikkonen  r a i k k o n e n
tururi  t u r u r i
mecea  m e ts1 a
datele  d a t e l e
problemei  p r o b l e m e i
împărțea  a2 m p a1 r ts e a
țările  ts a1 r i l e
grupuri  g r u p u r i
ușoară  u s1 o a r a1
jean  z1 e a n
bujar  b u z1 a r
nishani  n i s h a n i
precedentul  p r e ts1 d e n t u l
interne  i n t e r n e
portofoliul  p o r t o f o l i u l
iert  i e r t
bulevardul  b u l e v a r d u l
revoluția  r e v o l u ts i a
desfășurat  d e s f a1 s1 u r a t
restricții  r e s t r i k ts i i
circulație  ts1 r k u l a ts i e
neîncetarea  n e a2 n ts1 t a r e a
urmării  u r m a1 r i i
plângerea  p l a2 n dz1 r e a
doris  d o r i s
patiseria  p a t i s e r i a
sibieni  s i b i e n i
așezată  a s1 e z a t a1
chiria  k h i r i a
creațiile  k r e a ts i i l e
adolescenți  a d o l e s ts1 n ts i
egalam  e g a l a m
mănânce  m a1 n a2 n ts1
unirii  u n i r i i
copilul  k o p i l u l
îngrijri  a2 n g r i z1 r i
obișnuia  o b i s1 n u i a
colaborări  k o l a b o r a1 r i
vei  v e i
robert  r o b e r t
klein  k l e i n
orei  o r e i
alegeați  a l e dz1 a ts i
victimele  v i k t i m e l e
reprezentate  r e p r e z e n t a t e
fugind  f u dz1 n d
universitățile  u n i v e r s i t a1 ts i l e
procurorii  p r o k u r o r i i
bănuiesc  b a1 n u i e s k
spargeri  s p a r dz1 r i
serviciul  s e r v i ts1 u l
victoriei  v i k t o r i e i
cântăm  k a2 n t a1 m
dansăm  d a n s a1 m
râdem  r a2 d e m
mințit  m i n ts i t
automobilele  a u t o m o b i l e l e
ambarcațiunile  a m b a r k a ts i u n i l e
dezvoltatori  d e z v o l t a t o r i
conving  k o n v i n g
meniul  m e n i u l
acea  a ts1 a
doherty  d o h e r t i
jucăm  z1 u k a1 m
dificile  d i f i ts1 l e
competiției  k o m p e t i ts i e i
documentația  d o k u m e n t a ts i a
obținerii  o b ts i n e r i i
acordului  a k o r d u l u i
depusă  d e p u s a1
tehnicile  t e h n i ts1 l e
șold  s1 o l d
controlați  k o n t r o l a ts i
operativi  o p e r a t i v i
drogurile  d r o g u r i l e
proveneau  p r o v e n e a u
ascunse  a s k u n s e
muzicală  m u z i k a l a1
viitorul  v i i t o r u l
promițător  p r o m i ts a1 t o r
naște  n a s1 t e
condescu  k o n d e s k u
evidențiat  e v i d e n ts i a t
elementele  e l e m e n t e l e
structurale  s t r u k t u r a l e
împușcatului  a2 m p u s1 k a t u l u i
fuziunea  f u z i u n e a
pământurilor  p a1 m a2 n t u r i l o r
agroalimentară  a g r o a l i m e n t a r a1
industria  i n d u s t r i a
precedenți  p r e ts1 d e n ts i
etajele  e t a z1 e l e
senatori  s e n a t o r i
liberali  l i b e r a l i
ansamblul  a n s a m b l u l
meritam  m e r i t a m
victoria  v i k t o r i a
bâlbele  b a2 l b e l e
spațiul  s p a ts i u l
ridicați  r i d i k a ts i
prietenele  p r i e t e n e l e
unguroaice  u n g u r o a i ts1
vroiau  v r o i a u
supracazări  s u p r a k a z a1 r i
parcării  p a r k a1 r i i
autoturismelor  a u t o t u r i s m e l o r
irimescu  i r i m e s k u
nicola  n i k o l a
brawn  b r a u n
impresionante  i m p r e s i o n a n t e
investigația  i n v e s t i g a ts i a
extinsă  e k s t i n s a1
grupul  g r u p u l
google  g o o g l e
stricte  s t r i k t e
străine  s t r a1 i n e
intelectuală  i n t e l e k t u a l a1
favoarea  f a v o a r e a
goanei  g o a n e i
materialiste  m a t e r i a l i s t e
conține  k o n ts i n e
automatizate  a u t o m a t i z a t e
stațiile  s t a ts i i l e
electrice  e l e k t r i ts1
conduse  k o n d u s e
întâlniri  a2 n t a2 l n i r i
asemănătoare  a s e m a1 n a1 t o a r e
washington  u a s h i n g t o n
melbourne  m e l b o u r n e
pornește  p o r n e s1 t e
sighet  s i g h e t
gutâi  g u t a2 i
acționează  a k ts i o n e a z a1
prinderea  p r i n d e r e a
fundașul  f u n d a s1 u l
năstase  n a1 s t a s e
tineri  t i n e r i
arestați  a r e s t a ts i
forța  f o r ts a
cântărește  k a2 n t a1 r e s1 t e
arcelormittal  a r ts1 l o r m i t t a l
groapa  g r o a p a
semnalizată  s e m n a l i z a t a1
firmei  f i r m e i
next  n e k s t
citroen  ts1 t r o e n
așteptam  a s1 t e p t a m
plimbările  p l i m b a1 r i l e
weekendurile  u e e k e n d u r i l e
libere  l i b e r e
josh  z1 o s h
mitchell  m i t k h e l l
revine  r e v i n e
vi  v i
di-uri  d i u r i
reprezentații  r e p r e z e n t a ts i i
placut  p l a k u t
norvegianul  n o r v e dz1 a n u l
argentinienii  a r dz1 n t i n i e n i i
re-ului  r e u l u i
subliniind  s u b l i n i i n d
diferența  d i f e r e n ts a
n-ai  n a i
banul  b a n u l
vândute  v a2 n d u t e
răutatea  r a1 u t a t e a
prostia  p r o s t i a
vâneze  v a2 n e z e
arbitrul  a r b i t r u l
nava  n a v a
delfinii  d e l f i n i i
sperie  s p e r i e
cercetată  ts1 r ts1 t a t a1
influența  i n f l u e n ts a
băuturilor  b a1 u t u r i l o r
alcoolice  a l k o o l i ts1
ocupație  o k u p a ts i e
iuliu  i u l i u
maniu  m a n i u
garros  g a r r o s
coboară  k o b o a r a1
șoferului  s1 o f e r u l u i
dădea  d a1 d e a
comenzi  k o m e n z i
complici  k o m p l i ts1
cardurilor  k a r d u r i l o r
false  f a l s e
dimineața  d i m i n e a ts a
conductorul  k o n d u k t o r u l
interzicea  i n t e r z i ts1 a
ianis  i a n i s
grăbim  g r a1 b i m
iranul  i r a n u l
exerciții  e k s e r ts1 ts i i
teste  t e s t e
țină  ts i n a1
unirea  u n i r e a
pronosticuri  p r o n o s t i k u r i
recomandă  r e k o m a n d a1
schimbarea  s k h i m b a r e a
periodică  p e r i o d i k a1
dușului  d u s1 u l u i
mihai  m i h a i
suporterilor  s u p o r t e r i l o r
mediul  m e d i u l
frecventează  f r e k v e n t e a z a1
cursurile  k u r s u r i l e
gimnaziale  dz1 m n a z i a l e
îngrașă  a2 n g r a s1 a1
renovate  r e n o v a t e
adună  a d u n a1
mesei  m e s e i
sălile  s a1 l i l e
curățate  k u r a1 ts a t e
dezinfectate  d e z i n f e k t a t e
indemnizațiile  i n d e m n i z a ts i i l e
românilor  r o m a2 n i l o r
aleagă  a l e a g a1
ieftină  i e f t i n a1
glicemia  g l i ts1 m i a
conservatoristă  k o n s e r v a t o r i s t a1
ecuadorul  e k u a d o r u l
columbia  k o l u m b i a
băteam  b a1 t e a m
rapidiști  r a p i d i s1 t i
legitimă  l e dz1 t i m a1
promovarea  p r o m o v a r e a
drepturi  d r e p t u r i
conferite  k o n f e r i t e
cercetările  ts1 r ts1 t a1 r i l e
rețete  r e ts e t e
zburdalnici  z b u r d a l n i ts1
greșim  g r e s1 i m
haris  h a r i s
finanțare  f i n a n ts a r e
fonduri  f o n d u r i
mansardele  m a n s a r d e l e
blocurilor  b l o k u r i l o r
parterele  p a r t e r e l e
viziru  v i z i r u
lovească  l o v e a s k a1
înregistrarea  a2 n r e dz1 s t r a r e a
simtă  s i m t a1
cerem  ts1 r e m
serioși  s e r i o s1 i
pozitivi  p o z i t i v i
prejudiciul  p r e z1 u d i ts1 u l
despărțirea  d e s p a1 r ts i r e a
andreea  a n d r e e a
pătrașcu  p a1 t r a s1 k u
fenerbahce  f e n e r b a h ts1
fronturile  f r o n t u r i l e
care-i  k a r e i
senatorul  s e n a t o r u l
ceahlăul  ts1 a h l a1 u l
beneficiat  b e n e f i ts1 a t
finalizată  f i n a l i z a t a1
telenovelele  t e l e n o v e l e l e
constatările  k o n s t a t a1 r i l e
carnea  k a r n e a
schimbările  s k h i m b a1 r i l e
fundamentale  f u n d a m e n t a l e
razii  r a z i i
mi-ar  m i a r
răsfățat  r a1 s f a1 ts a t
verificarea  v e r i f i k a r e a
activității  a k t i v i t a1 ts i i
instructorilor  i n s t r u k t o r i l o r
suspensii  s u s p e n s i i
inovatoare  i n o v a t o a r e
brazilienii  b r a z i l i e n i i
leandro  l e a n d r o
silva  s i l v a
afonso  a f o n s o
alves  a l v e s
martins  m a r t i n s
grandomania  g r a n d o m a n i a
poluatorul  p o l u a t o r u l
